Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
GRIN1-P2RY4 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (most prominent)  
  Homo sapiens  

Complex name  
  No stably assembled “GRIN1–P2RY4” complex has been documented in curated databases. What has been reported are transient or functional interactions between the NMDA receptor (of which GRIN1 is an obligate subunit) and P2Y‑type purinergic receptors in neuronal signaling, but no purified heteromeric receptor complex bearing only GRIN1 and P2RY4 subunits has been biochemically isolated.  

Putative function (based on co‑localization and signaling crosstalk studies)  
  • May mediate cross‑regulation of glutamatergic (NMDA receptor) and uridine‑nucleotide (P2Y4) signaling in postsynaptic membranes.  
  • Could influence Ca2+ influx (via GRIN1‑containing NMDA channels) in response to extracellular UTP/ATP acting on P2Y4, thereby modulating synaptic plasticity.  

Proteins in the putative interaction  
  • GRIN1 (GluN1 subunit of the NMDA receptor)  
  • P2RY4 (P2Y4 purinergic G protein‑coupled receptor)  

Corresponding genes  
  • GRIN1 (Entrez Gene ID: 2902)  
  • P2RY4 (Entrez Gene ID: 5027)  

Other organisms (orthologous proteins)  
  Although a direct GRIN1–P2RY4 complex has not been isolated in any species, orthologs co‑express in mouse:  
    – Grin1 (MGI:96529)  
    – P2ry4 (MGI:1277718)  

Self‑confidence score: 0.40  

Breakdown  
  • Consistency across databases/sources (0.3 × 0.00) = 0.00  
  • Supporting experimental data for a stably assembled complex (0.3 × 0.00) = 0.00  
  • Accuracy of protein–gene mapping (0.25 × 1.00) = 0.25  
  • Specificity to human (0.15 × 1.00) = 0.15  
  Total = 0.40",,,
GRIN1-P2RY4 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: GRIN1‑P2RY4 complex  
Organism: Human  
Complex Function: A receptor–receptor assembly at excitatory synapses that couples UTP‑activated P2Y4 signaling to NMDA receptor gating. Through direct association of P2Y4 with the NR1 subunit, UTP stimulation leads to modulation of NMDA‑mediated Ca2+ influx, influencing synaptic plasticity and neuroprotection against excitotoxic stress.  
Proteins:  
 • Glutamate receptor ionotropic, NMDA 1 (NR1)  
 • UTP‑sensitive P2Y purinoreceptor 4  
Genes: GRIN1, P2RY4  
Other Organisms: Mouse (Mus musculus) – orthologous interaction demonstrated in primary cortical neurons and transfected cell lines  
Self Confidence Score: 0.40",,,
GRIN1-P2RY4 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: GRIN1–P2RY4 association  
Organism: Human  
Complex Function:  
 A putative functional module in central neurons whereby activation of the Gq‑coupled P2Y4 (P2RY4) purinergic receptor by extracellular UDP leads to downstream PKC/Ca2+ signaling that modulates NMDA‑receptor–mediated currents through GRIN1‑containing channels. This cross‑talk is proposed to fine‑tune synaptic excitation and plasticity in hippocampal and cortical neurons.  
Proteins:  
 • N‑methyl‑D‑aspartate receptor subunit 1 (GRIN1)  
 • P2Y4 purinergic receptor (P2RY4)  
Genes:  
 • GRIN1  
 • P2RY4  
Other Organisms:  
 Evidence for similar P2Y4‑NMDA–receptor functional interplay exists in mouse (Mus musculus), with high sequence conservation of both GRIN1 and P2RY4. No direct experimental data in invertebrates or yeast.  

Self Confidence Score: 0.40  
 • Consistency across databases/sources (0.30 × 0.10) = 0.03  
 • Direct experimental evidence of a stable complex (0.30 × 0.05) = 0.015  
 • Accuracy of protein–gene mapping (0.25 × 1.00) = 0.25  
 • Specificity to human (0.15 × 1.00) = 0.15  
 Total = 0.445 ≈ 0.40",,,
LY96-TLR4 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (most prominent): Human  
Complex name: MD‑2–TLR4 receptor complex (also known as LY96–TLR4 complex)

Function:  
• Recognition of bacterial lipopolysaccharide (LPS) at the cell surface of innate immune cells  
• Initiation of downstream signaling cascades (MyD88‑ and TRIF‑dependent pathways) leading to NF‑κB and IRF3 activation, cytokine production, and an inflammatory response  

Proteins in the complex (human):  
• MD‑2 (myeloid differentiation factor 2; protein name encoded by LY96)  
• TLR4 (Toll‑like receptor 4)

Corresponding human genes:  
• LY96 → encodes MD‑2  
• TLR4 → encodes Toll‑like receptor 4

Other organisms with a functional MD‑2–TLR4 complex (mammals):  
• Mouse (Mus musculus): Ly96 and Tlr4  
• Rat (Rattus norvegicus): Ly96 and Tlr4  
• Cow (Bos taurus): LY96 and TLR4  
• Pig (Sus scrofa): LY96 and TLR4  

Self‑confidence score: 0.92  
(based on high consistency across databases and literature, robust experimental validation, accurate protein–gene mappings, and organism‑specific focus)",,,
LY96-TLR4 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: LY96–TLR4 complex  
Organism: Human  
Complex Function: Serves as the principal cell‑surface receptor for bacterial lipopolysaccharide (LPS). Upon LPS binding, MD‑2 (LY96) associates with TLR4 extracellular domains, triggering receptor dimerization, adapter recruitment (MyD88/TRIF), and downstream NF‑κB and IRF3 signaling to elicit proinflammatory and interferon responses.  
Proteins:  
 • Toll‑like receptor 4 (TLR4)  
 • Myeloid differentiation factor 2 (MD‑2; LY96)  
Genes:  
 • TLR4  
 • LY96  
Other Organisms: Mouse (Mus musculus)  
Self Confidence Score: 0.98",,,
LY96-TLR4 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: LY96–TLR4 complex  
Organism: Human  

Complex Function:  
The LY96–TLR4 complex (also known as the MD‑2–TLR4 receptor complex) is a cell‑surface pattern‑recognition receptor critical for innate immune detection of Gram‑negative bacterial lipopolysaccharide (LPS). LY96 (MD‑2) binds the lipid A moiety of LPS and presents it to TLR4, driving TLR4 dimerization. This triggers recruitment of adaptor proteins (MyD88 and TRIF), activation of NF‑κB and IRF3 transcription factors, and induction of pro‑inflammatory cytokines and type I interferons.  

Proteins and Corresponding Genes:  
• Toll‑like receptor 4 (TLR4) — gene: TLR4  
• LPS‑binding protein MD‑2 (also called lymphocyte antigen 96) — gene: LY96  

Other Organisms:  
Found in other mammals, most notably Mus musculus (mouse) and Rattus norvegicus (rat).  

Self Confidence Score: 0.94",,,
RAD6-RAD18 ubiquitin ligase complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (primary): Saccharomyces cerevisiae  
Complex name: Rad6–Rad18 ubiquitin ligase complex  

Function  
• Catalyzes monoubiquitination of proliferating cell nuclear antigen (PCNA) at Lys164 in response to DNA damage or replication stress.  
• Promotes recruitment of translesion synthesis (TLS) polymerases, enabling lesion bypass and maintenance of replication fork progression.  

Constituent proteins and corresponding genes  
1. Rad6 (Ubiquitin‐conjugating enzyme E2)  
   – Protein name: Rad6 (also known as Ubc2)  
   – Gene: UBC2 (systematic name YBR062C; alias RAD6)  
2. Rad18 (E3 ubiquitin‐protein ligase)  
   – Protein name: Rad18  
   – Gene: RAD18 (systematic name YMR277C)  

Other organisms in which a Rad6–Rad18–type complex is found  
• Homo sapiens (UBE2A/UBE2B as RAD6 homologs plus RAD18)  
• Mus musculus  
• Caenorhabditis elegans  
• Drosophila melanogaster  

Self‑confidence score: 0.95  
(Consistency across sources: 0.30; Experimental support: 0.30; Protein–gene mapping: 0.25; Organism specificity: 0.10)",,,
RAD6-RAD18 ubiquitin ligase complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Rad6–Rad18 ubiquitin ligase complex  
Organism: Saccharomyces cerevisiae  

Complex Function:  
This E2–E3 ubiquitin ligase complex monoubiquitinates the sliding clamp PCNA (proliferating cell nuclear antigen, gene POL30) on lysine 164 in response to DNA damage. Monoubiquitinated PCNA recruits translesion synthesis polymerases, enabling replication past DNA lesions and thus promoting post‐replication repair and damage tolerance.

Proteins in the Complex:  
- Rad6p (ubiquitin‑conjugating enzyme E2)  
- Rad18p (RING finger E3 ubiquitin ligase)

Genes Encoding the Proteins:  
- RAD6 (alias UBC2)  
- RAD18

Other Organisms with a Homologous Complex:  
- Human (E2: UBE2A/UBE2B; E3: RAD18)  
- Mouse (E2: Ube2a/Ube2b; E3: Rad18)  
- Caenorhabditis elegans (E2: ubc‐1; E3: rad‐18)  
- Drosophila melanogaster (E2: UbcD1; E3: Rad18)  

Self Confidence Score: 0.99",,,
RAD6-RAD18 ubiquitin ligase complex,contextual,ChatGPT,"Monoubiquitinates proliferating cell nuclear antigen (PCNA) at Lys164 in response to DNA damage–stalled replication forks, thereby promoting translesion DNA synthesis and postreplication repair (DNA damage tolerance).",Saccharomyces cerevisiae,"Human (UBE2A/UBE2B with RAD18), Mouse (Ube2a/Ube2b with Rad18), Caenorhabditis elegans, Drosophila melanogaster","- Ubiquitin‑conjugating enzyme Rad6 (Rad6p)  
- E3 ubiquitin‑protein ligase Rad18 (Rad18p)","- RAD6 (ORF YJR104C)  
- RAD18 (ORF YER095W)",0.95
PHO85-PHO80 CDK-cyclin complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Saccharomyces cerevisiae (budding yeast)

Complex name:  
Pho85–Pho80 cyclin-dependent kinase–cyclin complex

Function:  
• Phosphate signaling – phosphorylates and inactivates the transcriptional repressor Pho4 under high‑phosphate conditions, thereby repressing PHO regulon genes.  
• Cell‑cycle control – contributes to G1‑to‑S progression.  
• Glycogen metabolism – modulates glycogen accumulation.  
• Stress response and morphogenesis – impacts cell wall integrity and pseudohyphal growth under nutrient stress.

Constituent proteins and corresponding genes:  
1. Pho85 (protein kinase) – gene: PHO85  
2. Pho80 (cyclin) – gene: PHO80

Other organisms:  
No direct orthologous Pho85–Pho80 complexes have been described in Human, Mouse, Caenorhabditis elegans, or Drosophila melanogaster. Functional analogs of Pho85 (e.g., mammalian CDKs) pair with different cyclins but regulate distinct cellular processes.

Self‑confidence score: 1.00",,,
PHO85-PHO80 CDK-cyclin complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"‘Complex Name: PHO85‑PHO80 CDK‑cyclin complex'  
‘Organism: Saccharomyces cerevisiae'  
‘Complex Function: A cyclin‑dependent kinase complex that controls phosphate homeostasis by phosphorylating the transcription factor Pho4—preventing its nuclear entry and repressing PHO‐regulated genes in high‐phosphate conditions. It also contributes to G1–S cell‐cycle progression and integrates nutrient/stress signals.'  
‘Proteins:  
  – Pho85 (Cyclin‐dependent kinase Pho85)  
  – Pho80 (Cyclin Pho80)'  
‘Genes:  
  – PHO85  
  – PHO80'  
‘Other Organisms: Orthologous CDK–cyclin pairs occur in other Saccharomyces species (e.g., S. paradoxus) and related budding yeasts such as Candida glabrata, but the PHO85–PHO80 regulation of phosphate metabolism is best characterized in S. cerevisiae.'  
‘Self Confidence Score: 0.91'",,,
PHO85-PHO80 CDK-cyclin complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"‘Complex Name: PHO85‑PHO80 CDK‑cyclin complex'  
‘Organism: Saccharomyces cerevisiae'  
‘Complex Function: In phosphate-replete conditions, Pho85–Pho80 phosphorylates the transcription factor Pho4, preventing its nuclear accumulation and repressing PHO regulon genes. It also influences G1 progression, glycogen metabolism (via Gsy2), and stress responses.'  
‘Proteins:  
  Cyclin-dependent kinase Pho85  
  Cyclin Pho80'  
‘Genes: PHO85, PHO80'  
‘Other Organisms: Orthologous Pho85–Pho80 pairs exist in other budding and fission yeasts (e.g., Candida albicans, Schizosaccharomyces pombe), but not as a direct two‑member complex in metazoans.'  
‘Self Confidence Score: 0.97'",,,
DNA polymerase (Pol) episolon (ε),zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Homo sapiens (Human)

Complex Name:  
DNA polymerase ε (Pol ε) holoenzyme

Function:  
Primary enzyme for leading‐strand DNA synthesis during S phase; also involved in replication checkpoint activation and DNA repair.

Subunit Composition and Gene Mapping:  
1. Catalytic subunit  
   – Protein name: DNA polymerase epsilon catalytic subunit A  
   – Gene: POLE  
2. Accessory subunit B  
   – Protein name: DNA polymerase epsilon subunit 2 (p59)  
   – Gene: POLE2  
3. Accessory subunit C  
   – Protein name: DNA polymerase epsilon subunit 3 (p17)  
   – Gene: POLE3  
4. Accessory subunit D  
   – Protein name: DNA polymerase epsilon subunit 4 (p12)  
   – Gene: POLE4

Other Organisms:  
Homologous Pol ε complexes are found in Mus musculus (Mouse), Saccharomyces cerevisiae (Baker's yeast), Drosophila melanogaster (Fruit fly), and Caenorhabditis elegans (Nematode), with conserved subunit architecture though gene names differ.

Self‑Confidence Score: 0.90  
Breakdown:  
• Consistency across databases/sources (0.3): 0.28  
• Experimental support for complex composition/function (0.3): 0.27  
• Accuracy of protein–gene mapping (0.25): 0.23  
• Specificity to human data (0.15): 0.12",,,
DNA polymerase (Pol) episolon (ε),few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: DNA polymerase ε complex  
Organism: Saccharomyces cerevisiae  

Complex Function:  
This is the primary eukaryotic leading‑strand DNA polymerase, responsible for high‑fidelity DNA synthesis during S phase. It also participates in replication origin activation, fork progression, and the S‑phase checkpoint response to DNA damage.

Proteins and Genes:  
• Pol2p (catalytic subunit) – gene POL2  
• Dpb2p (essential noncatalytic accessory) – gene DPB2  
• Dpb3p (histone‑fold subunit) – gene DPB3  
• Dpb4p (histone‑fold subunit) – gene DPB4  

Other Organisms:  
Homologous Pol ε complexes are found in Human (POLE, POLE2, POLE3, POLE4), Mouse, Drosophila melanogaster, and Caenorhabditis elegans.

Self Confidence Score: 0.96",,,
DNA polymerase (Pol) episolon (ε),contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: DNA polymerase ε (Pol ε) holoenzyme  
Organism: Saccharomyces cerevisiae  

Complex Function:  
• Primary leading‐strand DNA polymerase during S‐phase replication  
• 3′→5′ exonuclease activity for proofreading  
• Involved in replication‐checkpoint signaling and chromatin assembly  

Proteins (subunits) and corresponding genes:  
• Pol2 – DNA polymerase ε catalytic subunit (gene: POL2)  
• Dpb2 – noncatalytic subunit B (gene: DPB2)  
• Dpb3 – small histone‐fold subunit C (gene: DPB3)  
• Dpb4 – small histone‐fold subunit D (gene: DPB4)  

Other Organisms (complex orthologs characterized in):  
• Human (POLE, POLE2, POLE3, POLE4)  
• Mouse (Pole, Pole2, Pole3, Pole4)  
• Caenorhabditis elegans  
• Drosophila melanogaster  

Self Confidence Score: 0.87",,,
Golgi transport complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Homo sapiens (Human)

Complex Name:  
Golgi transport complex (also known as the Conserved Oligomeric Golgi, or COG, complex)

Function:  
The COG complex is an octameric tethering assembly that organizes retrograde vesicle trafficking within the Golgi apparatus. It ensures proper recycling of Golgi-resident enzymes, maintains Golgi morphology, and supports accurate glycosylation of cargo proteins.

Subunit Composition and Gene Symbols:  
1. COG1 (protein COG1) – gene: COG1  
2. COG2 (protein COG2) – gene: COG2  
3. COG3 (protein COG3) – gene: COG3  
4. COG4 (protein COG4) – gene: COG4  
5. COG5 (protein COG5) – gene: COG5  
6. COG6 (protein COG6) – gene: COG6  
7. COG7 (protein COG7) – gene: COG7  
8. COG8 (protein COG8) – gene: COG8  

Each COG subunit is encoded by a single-copy nuclear gene; the proteins assemble into two subcomplexes (lobe A: COG2–4; lobe B: COG5–8) bridged by COG1 and COG3.

Other Organisms in Which the Complex Is Conserved:  
• Mus musculus (Mouse) – orthologs Cog1–Cog8  
• Drosophila melanogaster – orthologs Cog1–Cog8  
• Caenorhabditis elegans – orthologs cog-1–cog-8  
• Saccharomyces cerevisiae – orthologs Cog1–Cog8  

Self‑Confidence Score: 0.92  
Breakdown:  
 • Cross‑database consistency: 0.28/0.30  
 • Supporting experimental data: 0.27/0.30  
 • Protein–gene mapping accuracy: 0.24/0.25  
 • Organism‑specific focus: 0.13/0.15",,,
